event_id,title,host_id,date,participants
E300,Seamless systemic Graphical User Interface,U1018,2025-06-12T11:43:24.090067,"['U1003', 'U1063', 'U1023', 'U1021', 'U1050']"
E301,Networked composite array,U1090,2025-05-25T11:43:24.090104,"['U1059', 'U1025', 'U1031', 'U1067', 'U1065']"
E302,Devolved upward-trending array,U1021,2025-05-29T11:43:24.090126,"['U1003', 'U1059', 'U1090', 'U1063', 'U1050']"
E303,Operative discrete complexity,U1017,2025-05-30T11:43:24.090146,"['U1040', 'U1099', 'U1067', 'U1004', 'U1014']"
E304,Open-source asynchronous array,U1068,2025-06-03T11:43:24.090169,"['U1006', 'U1020', 'U1090', 'U1018', 'U1069']"
E305,Function-based asynchronous synergy,U1025,2025-05-15T11:43:24.090199,"['U1074', 'U1039', 'U1014', 'U1099', 'U1020']"
E306,Enhanced solution-oriented data-warehouse,U1012,2025-06-01T11:43:24.090230,"['U1020', 'U1088', 'U1012', 'U1069', 'U1071']"
E307,Configurable system-worthy data-warehouse,U1014,2025-06-02T11:43:24.090252,"['U1090', 'U1093', 'U1040', 'U1004', 'U1051']"
E308,Secured context-sensitive structure,U1017,2025-05-23T11:43:24.090273,"['U1000', 'U1040', 'U1019', 'U1014', 'U1050']"
E309,Realigned systematic policy,U1099,2025-06-04T11:43:24.090292,"['U1071', 'U1009', 'U1020', 'U1014', 'U1093']"
